,Unnamed: 0,magnetogram,T_REC,region_type,region_no,label
48554,48554,/SUM75/D699065662/S00000/magnetogram.fits,2015-04-12 12:48:00,harp,5422,False
60416,60416,/SUM85/D998605645/S00000/magnetogram.fits,2016-07-22 04:48:00,harp,6670,True
43706,43706,/SUM68/D665773148/S00000/magnetogram.fits,2014-12-18 12:48:00,harp,4920,True
41473,41473,/SUM22/D640112561/S00000/magnetogram.fits,2014-10-31 00:00:00,harp,4734,False
19592,19592,/SUM99/D1044697355/S00000/magnetogram.fits,2012-11-27 04:48:00,harp,2227,True
5588,5588,/SUM96/D1043079417/S00000/magnetogram.fits,2011-08-02 01:36:00,harp,750,True
46301,46301,/SUM6/D672740456/S00000/magnetogram.fits,2015-02-02 12:48:00,harp,5113,False
29839,29839,/SUM98/D1039060214/S00000/magnetogram.fits,2013-10-24 09:36:00,harp,3291,True
30062,30062,/SUM90/D1039335614/S00000/magnetogram.fits,2013-10-30 03:12:00,harp,3309,False
57705,57705,/SUM82/D798739167/S00000/magnetogram.fits,2016-02-16 03:12:00,harp,6345,False
37403,37403,/SUM16/D581011078/S00000/magnetogram.fits,2014-05-24 11:12:00,harp,4152,False
35024,35024,/SUM61/D549982310/S00000/magnetogram.fits,2014-03-03 06:24:00,harp,3784,True
63336,63336,/SUM98/D1013533262/S00000/magnetogram.fits,2017-04-02 08:00:00,harp,6972,True
40090,40090,/SUM20/D630356387/S00000/magnetogram.fits,2014-10-08 09:36:00,harp,4639,True
30670,30670,/SUM92/D1040137370/S00000/magnetogram.fits,2013-11-07 09:36:00,harp,3341,True
6986,6986,/SUM94/D1037321639/S00000/magnetogram.fits,2011-09-07 20:48:00,harp,833,True
23813,23813,/SUM96/D1044334570/S00000/magnetogram.fits,2013-04-22 08:00:00,harp,2673,True
1314,1314,/SUM88/D1042979857/S00000/magnetogram.fits,2011-02-08 04:48:00,harp,362,True
9306,9306,/SUM94/D1041715581/S00000/magnetogram.fits,2011-11-16 12:48:00,harp,1075,False
53392,53392,/SUM79/D744977881/S00000/magnetogram.fits,2015-08-20 16:00:00,harp,5885,True
35507,35507,/SUM48/D559599016/S00000/magnetogram.fits,2014-03-29 19:12:00,harp,3894,True
1913,1913,/SUM96/D1043887014/S00000/magnetogram.fits,2011-03-11 16:00:00,harp,401,True
34278,34278,/SUM46/D542139475/S00000/magnetogram.fits,2014-01-31 17:36:00,harp,3686,True
51582,51582,/SUM82/D729137630/S00000/magnetogram.fits,2015-07-05 16:00:00,harp,5718,False
47978,47978,/SUM51/D691753334/S00000/magnetogram.fits,2015-03-22 04:48:00,harp,5355,False
57592,57592,/SUM77/D797508801/S00000/magnetogram.fits,2016-02-12 20:48:00,harp,6327,True
29844,29844,/SUM99/D1039081905/S00000/magnetogram.fits,2013-10-26 19:12:00,harp,3291,True
15104,15104,/SUM84/D1044170633/S00000/magnetogram.fits,2012-06-03 00:00:00,harp,1705,False
14907,14907,/SUM94/D1043910431/S00000/magnetogram.fits,2012-05-26 14:24:00,harp,1697,False
45357,45357,/SUM51/D663105280/S00000/magnetogram.fits,2015-01-06 17:36:00,harp,5028,False
6966,6966,/SUM91/D1037312105/S00000/magnetogram.fits,2011-09-06 08:00:00,harp,833,True
2273,2273,/SUM95/D1037697307/S00000/magnetogram.fits,2011-03-26 12:48:00,harp,438,False
46192,46192,/SUM13/D670254541/S00000/magnetogram.fits,2015-01-26 08:00:00,harp,5107,True
61849,61849,/SUM91/D1006922750/S00000/magnetogram.fits,2016-11-08 06:24:00,harp,6831,False
