,magnetogram,T_REC,region_type,region_no,label
67409,/SUM69/D1242135803/S00000/magnetogram.fits,2019-11-05 20:48:00,harp,7386,False
6187,/SUM95/D1043668276/S00000/magnetogram.fits,2011-08-16 22:24:00,harp,781,False
27321,/SUM90/D1042946928/S00000/magnetogram.fits,2013-08-17 11:12:00,harp,3056,True
34755,/SUM49/D542885238/S00000/magnetogram.fits,2014-02-12 12:48:00,harp,3721,True
7146,/SUM86/D1037466978/S00000/magnetogram.fits,2011-09-06 00:00:00,harp,846,False
61437,/SUM96/D1006897414/S00000/magnetogram.fits,2016-10-09 19:12:00,harp,6798,False
6096,/SUM96/D1043606262/S00000/magnetogram.fits,2011-08-14 20:48:00,harp,772,False
11472,/SUM92/D1037547109/S00000/magnetogram.fits,2012-01-14 12:48:00,harp,1313,False
4935,/SUM90/D1042169756/S00000/magnetogram.fits,2011-07-16 22:24:00,harp,712,False
25470,/SUM93/D1039760327/S00000/magnetogram.fits,2013-06-21 06:24:00,harp,2861,False
16179,/SUM94/D1038455322/S00000/magnetogram.fits,2012-07-24 04:48:00,harp,1873,False
40839,/SUM64/D634869795/S00000/magnetogram.fits,2014-10-23 00:00:00,harp,4698,True
58491,/SUM87/D994500065/S00000/magnetogram.fits,2016-04-17 06:24:00,harp,6483,True
25002,/SUM84/D1039078608/S00000/magnetogram.fits,2013-06-04 20:48:00,harp,2790,True
9253,/SUM99/D1041569809/S00000/magnetogram.fits,2011-11-15 09:36:00,harp,1066,True
55362,/SUM74/D767890508/S00000/magnetogram.fits,2015-11-04 11:12:00,harp,6060,False
6088,/SUM91/D1043591407/S00000/magnetogram.fits,2011-08-12 08:00:00,harp,772,False
1894,/SUM89/D1043855516/S00000/magnetogram.fits,2011-03-09 01:36:00,harp,401,True
55377,/SUM78/D767890765/S00000/magnetogram.fits,2015-11-04 08:00:00,harp,6063,True
30330,/SUM90/D1039610041/S00000/magnetogram.fits,2013-11-02 01:36:00,harp,3321,True
44996,/SUM36/D661592195/S00000/magnetogram.fits,2015-01-02 20:48:00,harp,5004,False
30695,/SUM98/D1040175170/S00000/magnetogram.fits,2013-11-10 04:48:00,harp,3341,True
30463,/SUM91/D1039738227/S00000/magnetogram.fits,2013-10-30 20:48:00,harp,3326,False
30860,/SUM97/D1040450995/S00000/magnetogram.fits,2013-11-12 08:00:00,harp,3364,False
51538,/SUM72/D724331783/S00000/magnetogram.fits,2015-06-20 03:12:00,harp,5692,True
57624,/SUM81/D798448238/S00000/magnetogram.fits,2016-02-15 04:48:00,harp,6327,True
65760,/SUM92/D1047068237/S00000/magnetogram.fits,2018-04-15 04:48:00,harp,7248,False
15809,/SUM92/D1037921534/S00000/magnetogram.fits,2012-07-02 09:36:00,harp,1807,True
54288,/SUM76/D756246623/S00000/magnetogram.fits,2015-09-27 12:48:00,harp,5982,True
40518,/SUM21/D634559047/S00000/magnetogram.fits,2014-10-21 01:36:00,harp,4678,False
28782,/SUM98/D1037930700/S00000/magnetogram.fits,2013-09-30 06:24:00,harp,3240,False
32392,/SUM95/D1042667564/S00000/magnetogram.fits,2013-12-17 17:36:00,harp,3481,False
28761,/SUM98/D1037884567/S00000/magnetogram.fits,2013-10-01 17:36:00,harp,3220,False
48503,/SUM54/D697827547/S00000/magnetogram.fits,2015-04-08 08:00:00,harp,5415,True
41388,/SUM3/D641150121/S00000/magnetogram.fits,2014-11-03 22:24:00,harp,4733,False
2062,/SUM85/D1044094844/S00000/magnetogram.fits,2011-03-14 20:48:00,harp,407,True
53419,/SUM80/D745565947/S00000/magnetogram.fits,2015-08-22 12:48:00,harp,5885,True
