,Unnamed: 0,magnetogram,T_REC,region_type,region_no,label
3420,3420,/SUM95/D1039636715/S00000/magnetogram.fits,2011-05-22 12:48:00,harp,605,False
23508,23508,/SUM96/D1043758222/S00000/magnetogram.fits,2013-04-10 09:36:00,harp,2635,True
3810,3810,/SUM96/D1040207811/S00000/magnetogram.fits,2011-06-04 16:00:00,harp,632,False
57610,57610,/SUM81/D798146205/S00000/magnetogram.fits,2016-02-14 06:24:00,harp,6327,True
53416,53416,/SUM73/D745568098/S00000/magnetogram.fits,2015-08-22 08:00:00,harp,5885,True
12793,12793,/SUM93/D1039123720/S00000/magnetogram.fits,2012-03-04 12:48:00,harp,1447,False
39498,39498,/SUM17/D606156451/S00000/magnetogram.fits,2014-08-01 03:12:00,harp,4379,False
55371,55371,/SUM72/D767590239/S00000/magnetogram.fits,2015-11-03 22:24:00,harp,6063,True
63671,63671,/SUM86/D1018814053/S00000/magnetogram.fits,2017-05-01 19:12:00,harp,6994,False
5018,5018,/SUM95/D1042244686/S00000/magnetogram.fits,2011-07-15 19:12:00,harp,713,False
2715,2715,/SUM92/D1038815976/S00000/magnetogram.fits,2011-04-29 20:48:00,harp,532,False
54333,54333,/SUM83/D756800029/S00000/magnetogram.fits,2015-09-29 04:48:00,harp,5983,True
30678,30678,/SUM96/D1040146748/S00000/magnetogram.fits,2013-11-08 00:00:00,harp,3341,True
33236,33236,/SUM98/D1044451554/S00000/magnetogram.fits,2014-01-06 17:36:00,harp,3580,True
29474,29474,/SUM89/D1038598510/S00000/magnetogram.fits,2013-10-16 20:48:00,harp,3263,True
52060,52060,/SUM78/D729749621/S00000/magnetogram.fits,2015-07-08 00:00:00,harp,5750,False
38101,38101,/SUM84/D1044946574/S00000/magnetogram.fits,2014-06-09 16:00:00,harp,4201,False
37361,37361,/SUM10/D581010579/S00000/magnetogram.fits,2014-05-24 16:00:00,harp,4138,True
57622,57622,/SUM80/D798445945/S00000/magnetogram.fits,2016-02-15 01:36:00,harp,6327,True
10727,10727,/SUM86/D1044197081/S00000/magnetogram.fits,2011-12-25 22:24:00,harp,1209,True
15058,15058,/SUM91/D1044140964/S00000/magnetogram.fits,2012-05-30 20:48:00,harp,1705,False
