,Unnamed: 0.1,Unnamed: 0,T_REC,USFLUXL,MEANGBL,R_VALUE,AREA,HARPNUM,NOAA_ARS,label,observation_period,prediction_period
0,0,0,2017-10-20 22:48:00,-0.7703469637753373,-1.559214477137152,1.0060520375062736,-0.8972100873987223,7169,12685,irrelevant,M1.1,D0
1,1,1,2017-10-21 00:24:00,-0.4545927160509784,-1.538724111128116,0.5973432838166612,-0.5198978347425809,7169,12685,negative,D0,D0
2,2,2,2017-10-21 02:00:00,-0.3929901110641454,-1.8033516287331888,0.7829627742088408,-0.3728415370626821,7169,12685,negative,D0,D0
3,3,3,2017-10-21 03:36:00,-0.3847019294713619,-1.950278671821239,0.8163973408012207,-0.2846215745564904,7169,12685,negative,D0,D0
4,4,4,2017-10-21 05:12:00,-0.3909806938245204,-2.023980453435137,0.7593279943762962,-0.2391087820209216,7169,12685,negative,D0,D0
5,5,5,2017-10-21 06:48:00,-0.4055813088177357,-2.1227789624089395,0.7126348927559032,-0.2251348068228549,7169,12685,negative,D0,D0
6,6,6,2017-10-21 08:24:00,-0.4216233507516986,-2.097841075095616,0.8135150505777398,-0.2645367327396056,7169,12685,negative,D0,D0
7,7,7,2017-10-21 10:00:00,-0.4385075851977902,-2.085133871369082,0.7656690328679543,-0.33304453954018,7169,12685,negative,D0,D0
8,8,8,2017-10-21 11:36:00,-0.4621962315051641,-2.0400232981398863,0.6261661860514716,-0.3768376448771892,7169,12685,negative,D0,D0
9,9,9,2017-10-21 13:12:00,-0.4761048123411264,-1.99014752351324,0.7518340397952452,-0.4104648038343011,7169,12685,negative,D0,D0
10,10,10,2017-10-21 14:48:00,-0.490200764689477,-1.941542469259247,1.0268045271153374,-0.4391610093159429,7169,12685,negative,D0,D0
11,11,11,2017-10-21 16:24:00,-0.4955383812419831,-1.9107275002224016,0.7685513230914355,-0.4635048539527454,7169,12685,negative,D0,D0
12,12,12,2017-10-21 18:00:00,-0.4997080269385214,-1.8502094424747837,0.5592970528667115,-0.4816583965229883,7169,12685,negative,D0,D0
13,13,13,2017-10-21 19:36:00,-0.4944626505182961,-1.7267907262808206,0.4255587864971908,-0.4970148434527667,7169,12685,negative,D0,D0
14,14,14,2017-10-21 21:12:00,-0.5017052263244267,-1.7047119598059677,0.4330527410782414,-0.5105559823021275,7169,12685,negative,D0,D0
15,15,15,2017-10-21 22:48:00,-0.4991197046387973,-1.6165557339531371,0.4399702376145959,-0.5248613439959089,7169,12685,negative,D0,D0
16,16,16,2017-10-22 00:24:00,-0.5009648803486484,-1.5218870661904584,0.5068393707993564,-0.5387830131377879,7169,12685,negative,D0,D0
